items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000086	46	49	3	0	0.758386806604887	0.903188366143591	0.824478063943738
GC_00000087	47	49	3	0	0.756660857298098	0.886205310299102	0.816325618067574
GC_00000088	47	49	2	0	0.764301664576677	0.903897082987542	0.828258678580246
GC_00000089	47	49	2	0	0.762200189207739	0.86187636362724	0.808979510582356
GC_00000090	15	49	6	0	0.77328618985113	0.835689292855106	0.803277608785413
GC_00000091	35	49	5	0	0.694713481473078	0.754217008148868	0.723243423021654
GC_00000092	46	48	2	0	0.75491778816441	0.858748036296532	0.803492468297236
GC_00000093	45	48	2	0	0.756916141411158	0.87287593037886	0.810770763447627
GC_00000094	46	48	2	0	0.770174215175316	0.888714633395485	0.825209110158141
GC_00000095	47	48	2	0	0.770432974477647	0.936219275573757	0.845273782309047
GC_00000096	45	48	2	0	0.761801193839733	0.80217400602436	0.781466503445402
GC_00000097	28	48	2	0	0.781226633279427	0.828253830507262	0.804053191159125
GC_00000098	29	48	2	0	0.755920778186507	0.867774105084656	0.807994757591588
GC_00000099	41	48	2	0	0.753847916817447	0.711624650480347	0.732128014255134
GC_00000100	42	48	2	0	0.629348371113957	0.754765039983198	0.686374605836175
GC_00000101	29	48	3	0	0.756640802299695	0.787972016324275	0.771988645222364
GC_00000102	37	48	2	0	0.701291559774542	0.699261703033175	0.700275160442882
GC_00000103	47	48	2	0	0.74241485935999	0.921731561570242	0.822412257772748
GC_00000104	47	48	2	0	0.735303546820685	0.862196351614045	0.793710266922517
GC_00000105	46	48	2	0	0.804035240243429	0.934216975508216	0.864251302009626
GC_00000106	47	48	2	0	0.788605306165027	0.935465724983586	0.85578055791134
GC_00000107	47	48	2	0	0.762968883560351	0.912721651038443	0.831153730018405
GC_00000108	46	47	2	0	0.793974452382233	0.831264579700088	0.81219171632434
GC_00000109	47	47	1	1	0.858929152330681	0.96283818854131	0.907920315136999
GC_00000110	47	47	1	1	0.752770103994725	0.935922866039522	0.834414266775
GC_00000111	47	47	1	1	0.759869495858079	0.933885282589467	0.837938228013111
GC_00000112	46	47	2	0	0.746362234292228	0.867593012277799	0.802424553563217
GC_00000113	46	47	2	0	0.847195144679161	0.918319054656519	0.88132448287768
GC_00000114	42	47	2	0	0.759763645078537	0.851024240564148	0.802808718421959
GC_00000115	46	47	2	0	0.742223143064332	0.987891815091637	0.847615546641314
GC_00000116	32	47	3	0	0.745972136821881	0.628851580931885	0.682423137619443
GC_00000117	46	47	2	0	0.750726779995073	0.896713772377149	0.817251999708979
GC_00000118	46	47	2	0	0.744848038678216	0.787840191409418	0.765741146625263
GC_00000119	47	47	1	1	0.828191722965081	1.0	0.906022833996716
GC_00000120	47	47	1	1	0.736081781086267	0.806440165978825	0.769656360277574
GC_00000121	47	47	1	1	0.739980309229378	0.956529861613003	0.834434446605255
GC_00000122	46	47	2	0	0.756437577019917	0.884490619309743	0.815467663318882
GC_00000123	46	47	2	0	0.797104624068787	0.884353655291271	0.838465511274048
GC_00000124	45	47	2	0	0.743963713573943	0.893578501796872	0.811936296147458
GC_00000125	41	47	4	0	0.77588532569543	0.832431885130417	0.803164549836569
GC_00000126	47	47	1	1	0.709610376908689	0.942775552886962	0.809742207750643
GC_00000127	46	47	2	0	0.763812655843504	0.87214928592622	0.814393838104443
GC_00000128	47	47	1	1	0.751515814039806	0.970896624733489	0.847235134698333
GC_00000129	47	47	1	1	0.781608927861054	0.955726440932812	0.859942567501586
GC_00000130	47	47	1	1	0.765874370759466	0.911170461203064	0.832228322497345
GC_00000131	46	47	2	0	0.713137331298635	0.915122564351057	0.801601838989075
GC_00000132	47	47	1	1	0.779269340847267	0.83322636770511	0.805345104355089
GC_00000133	43	47	2	0	0.686919088787095	0.877374780320675	0.770552767002035
GC_00000134	46	47	2	0	0.811296589561861	0.93467784118466	0.868627777748077
GC_00000135	46	47	2	0	0.799266541341798	0.902636810428305	0.847812422260601
GC_00000136	29	47	3	0	0.698337891236818	0.874930140569812	0.776723173664731
GC_00000137	14	47	7	0	0.664361716879443	0.640245375037052	0.652080644386018
GC_00000138	3	47	17	0	0.768022915024414	0.65099990881075	0.704686125194472
GC_00000139	46	46	1	0	0.857131716066894	0.942225332672364	0.897666437999091
GC_00000140	46	46	1	0	0.806222821290457	0.836607791042848	0.821134313598118
GC_00000141	45	46	2	0	0.860366812227074	0.977599278474836	0.915244279110365
GC_00000142	46	46	1	0	0.849366985216042	0.95662275907105	0.899809970052704
GC_00000143	46	46	1	0	0.820778874581967	0.935795433184831	0.874521640322614
GC_00000144	46	46	1	0	0.782305745406851	0.949420570583066	0.85779971155547
GC_00000145	46	46	1	0	0.793544813093736	0.967396473843788	0.871888755994786
GC_00000146	46	46	1	0	0.749555915287148	0.862170053289507	0.801928709999376
GC_00000147	45	46	2	0	0.788004418712286	0.916118326312902	0.847245647422188
GC_00000148	46	46	1	0	0.702727730573652	0.960286840538835	0.811562573020838
GC_00000149	46	46	1	0	0.750839404361676	0.813477773158717	0.780904506371428
GC_00000150	46	46	1	0	0.735802937236167	0.89006538397468	0.805615947265726
GC_00000151	46	46	1	0	0.77143288485887	0.92327008963285	0.840549546994209
GC_00000152	45	46	2	0	0.756551652367483	0.916623287919085	0.828930491816864
GC_00000153	44	46	2	0	0.720792000761961	0.901247788174863	0.800981826526763
GC_00000154	44	46	2	0	0.707901049690623	0.895049139262173	0.790550111382207
GC_00000155	45	46	2	0	0.812806466951973	0.859556137760867	0.835527875965941
GC_00000156	46	46	1	0	0.801020902345944	0.992544523758023	0.886556908900954
GC_00000157	46	46	1	0	0.753423194269196	0.974781234408564	0.849925829554404
GC_00000158	46	46	1	0	0.732389577602325	0.947600232599098	0.826210408985647
GC_00000159	43	46	2	0	0.76393145904941	0.882982515548951	0.819154044257753
GC_00000160	45	45	1	0	0.819362376240875	0.924878884069194	0.868929060938772
GC_00000161	45	45	1	0	0.742634602958384	0.730368930533404	0.736450698735324
GC_00000162	44	45	2	0	0.71362920109455	0.860517779591407	0.780220173988928
GC_00000163	44	45	2	0	0.781221759703988	0.878861303801061	0.827170145139088
GC_00000164	42	45	2	0	0.790733281798826	0.817489518894174	0.80388882663868
GC_00000165	45	45	1	0	0.740368801953799	0.919245051158069	0.820167120142715
GC_00000166	45	45	1	0	0.765076123483203	0.921753661408833	0.836138565246233
GC_00000167	43	45	2	0	0.707728801855634	0.872290750459758	0.78144006102705
GC_00000168	45	45	1	0	0.795330705406807	0.973736208368034	0.875537606238975
GC_00000169	32	45	3	0	0.792039586184353	0.834451236322806	0.812692457605586
GC_00000170	45	45	1	0	0.712178006095762	0.889487480172317	0.791018381188039
GC_00000171	43	45	2	0	0.792553840389333	0.891438937703389	0.839093092013851
GC_00000172	45	45	1	0	0.761198083421504	0.886246815157706	0.818976559056093
GC_00000173	45	45	1	0	0.791879836792268	0.902147277845003	0.843424798776562
GC_00000174	45	45	1	0	0.821848841281502	0.981341369627813	0.894541532724393
GC_00000175	45	45	1	0	0.728675065330161	0.923905296982221	0.814758262884579
GC_00000176	45	45	1	0	0.747097329669912	0.927774202669473	0.827690501590712
GC_00000177	45	45	1	0	0.794699833353656	0.737164303615332	0.764851575409952
GC_00000178	45	45	1	0	0.788370811143952	0.769896724636786	0.77902425785296
GC_00000179	45	45	1	0	0.808168507522349	0.892409268140946	0.848202389392365
GC_00000180	29	44	4	0	0.680313583597166	0.679845582308609	0.680079502438337
GC_00000181	29	44	3	0	0.728156132614731	0.840095398655853	0.780130743461881
GC_00000182	43	44	2	0	0.788219307417751	0.795045487538506	0.791617682082703
GC_00000183	42	44	3	0	0.749424137488778	0.879674461414845	0.809342387207745
GC_00000184	24	44	4	0	0.678423422858885	0.819372623362186	0.742266053032686
GC_00000185	41	44	3	0	0.764011278063381	0.85145445628888	0.805366271198395
GC_00000186	29	44	4	0	0.801156245245702	0.772247678976723	0.786436389745826
GC_00000187	44	44	1	0	0.757475785998057	0.937642729161197	0.837984668216564
GC_00000188	42	44	2	0	0.838966523721369	0.980830665746124	0.904369012946034
GC_00000189	21	44	3	0	0.655650330728625	0.871133504830544	0.748185770963119
GC_00000190	34	43	3	0	0.74689722120076	0.832728350154766	0.787480909430914
GC_00000191	43	43	1	0	0.789326755389339	0.736992110707632	0.76226220407006
GC_00000192	41	43	2	0	0.828243965656893	0.945387660544035	0.882947296930281
GC_00000193	43	43	1	0	0.767524017100697	0.92261033635641	0.837951835166775
GC_00000194	43	43	1	0	0.734279078978163	0.957170327463436	0.831038922947939
GC_00000195	28	43	3	0	0.747934797328601	0.907899171589236	0.820190182885534
GC_00000196	29	43	3	0	0.778304613921474	0.858192945666018	0.816298839351875
GC_00000197	29	43	3	0	0.805837217300554	0.849570765356366	0.827126301947477
GC_00000198	41	43	2	0	0.800372656505159	0.894176491621407	0.844678261205599
GC_00000199	42	43	2	0	0.766895906752888	0.928035191376461	0.839805689298796
GC_00000200	43	43	1	0	0.774937663144956	0.947173482492378	0.852442546434908
GC_00000201	27	42	2	0	0.739762270112211	0.871407958311042	0.800206853455684
GC_00000202	42	42	1	0	0.754858785041918	0.776170616229649	0.765366370973336
GC_00000203	28	42	3	0	0.715098201936376	0.647412687422302	0.679574236510357
GC_00000204	18	42	4	0	0.662627915477051	0.845168196132572	0.742848500163557
GC_00000205	27	42	3	0	0.741057986297645	0.951153683761827	0.833063671666269
GC_00000206	42	42	1	0	0.784142183174772	0.814850356590933	0.799201399240524
GC_00000207	36	42	3	0	0.739278656889691	0.837224855908025	0.78520911874399
GC_00000208	28	42	6	0	0.694271904704285	0.849242079706071	0.763977420596937
GC_00000209	42	42	1	0	0.698699109842718	0.925934318651617	0.796425178588481
GC_00000210	39	42	2	0	0.780826933588268	0.870598282396159	0.82327262615447
GC_00000211	39	42	2	0	0.71272135407885	0.89102208681814	0.791960175221041
GC_00000212	21	42	4	0	0.727793609089201	0.862223432351192	0.789325758551221
GC_00000213	26	41	3	0	0.716923989601282	0.896732455540043	0.796810264745563
GC_00000214	41	41	1	0	0.783559268306327	0.873691755434459	0.826174505619823
GC_00000215	27	41	2	0	0.778732344290378	0.941305993942292	0.852336145147142
GC_00000216	28	41	4	0	0.861966288967811	0.803639053831707	0.83178140115308
GC_00000217	29	41	3	0	0.720886569766723	0.858099947616831	0.783531361343776
GC_00000218	11	41	5	0	0.777410209834514	0.674020975245116	0.722033249918661
GC_00000219	41	41	1	0	0.707477619799895	0.917189701897018	0.798798841507234
GC_00000220	7	40	8	0	0.996097160170492	0.754702773417059	0.858758645064724
GC_00000221	8	40	11	0	0.928848580904582	0.762355522485013	0.83740672552265
GC_00000222	39	40	2	0	0.802124360064107	0.912999191298983	0.853978002316766
GC_00000223	40	40	1	0	0.718103012226815	0.839069509373377	0.773887714804412
GC_00000224	27	40	2	0	0.780620331508955	0.916756371934943	0.84322903869342
GC_00000225	29	40	3	0	0.727633660333002	0.833641199631399	0.777038576674476
GC_00000226	28	40	3	0	0.80882673121502	0.822986439034138	0.815845151214994
GC_00000227	27	40	3	0	0.76179791288243	0.903774404191936	0.826734988054245
GC_00000228	38	39	2	0	0.785785984098053	0.924643794146318	0.849578442757462
GC_00000229	28	39	3	0	0.768566743827161	0.774896947162718	0.771718864472288
GC_00000230	28	39	3	0	0.785880853820699	0.735731529868397	0.759979780755945
GC_00000231	28	39	2	0	0.740809502697111	0.687742035704074	0.713290100858445
GC_00000232	35	39	2	0	0.794655414908579	0.950353634541578	0.865558447395416
GC_00000233	24	39	3	0	0.785882115156262	0.78585504144264	0.785868578066274
GC_00000234	29	39	3	0	0.774722250990474	0.898941637430396	0.832222160826129
GC_00000235	30	39	5	0	0.862998086499025	0.82396928737738	0.843032211946905
GC_00000236	38	39	2	0	0.769288426943834	0.828363720600467	0.797733880353833
GC_00000237	33	39	3	0	0.726413675652115	0.825973226086406	0.773000914243379
GC_00000238	35	39	2	0	0.736143754647026	0.87503486689449	0.799602779915823
GC_00000239	37	39	3	0	0.776737248187316	0.909736521140505	0.837992567518935
GC_00000240	37	39	2	0	0.772504352492369	0.919832311743994	0.839755445121184
GC_00000241	38	38	1	0	0.778323142798377	0.89661342189043	0.833291231576432
GC_00000242	34	38	2	0	0.713911862239802	0.762735015302754	0.737516305965439
GC_00000243	37	38	2	0	0.75258369842539	0.762194419465888	0.757358570665597
GC_00000244	28	38	3	0	0.78210136019352	0.886683085189507	0.831115185554274
GC_00000245	26	38	3	0	0.744641030120031	0.737815264118816	0.741212432969305
GC_00000246	21	38	2	0	0.836639214321618	0.987400934769354	0.905789647993831
GC_00000247	35	38	2	0	0.781655081235733	0.924707483943726	0.847184904581291
GC_00000248	21	38	3	0	0.789389259389259	0.867585000446998	0.826642027653181
GC_00000249	37	37	1	0	0.760969463633417	0.722905438659087	0.741449246246024
GC_00000250	24	37	2	0	0.675726453512302	0.682382063301917	0.679037950011601
GC_00000251	29	37	2	0	0.763174133037147	0.689838926203571	0.724655874346781
GC_00000252	29	37	2	0	0.85369245308492	0.975994933790365	0.910756138127921
GC_00000253	25	37	2	0	0.699536294583473	0.7338358214996	0.716275676978074
GC_00000254	29	37	4	0	0.846598128937709	0.888027392744373	0.866818018927554
GC_00000255	32	37	4	0	0.732903941504854	0.878771271460755	0.799236624542618
GC_00000256	25	37	2	0	0.742011771519015	0.857065475678614	0.795399563130021
GC_00000257	18	37	3	0	0.750246020477918	0.881046358465712	0.810402271018398
GC_00000258	21	37	2	0	0.693147094806543	0.773789781752311	0.731251832008989
GC_00000259	27	37	2	0	0.803373789840002	0.737532829765839	0.769046659987698
GC_00000260	29	36	2	0	0.817863987542672	0.778397331844483	0.797642764355552
GC_00000261	27	36	2	0	0.681960805734088	0.749830297082336	0.714286983005039
GC_00000262	29	36	2	0	0.807887928174963	0.817025248407314	0.81243089749663
GC_00000263	36	36	1	0	0.723128794161372	0.927266918965035	0.812572892238916
GC_00000264	29	36	3	0	0.744786263525536	0.70617799504841	0.724968471426004
GC_00000265	20	36	4	0	0.659982278771971	0.912354250937964	0.765914454321575
GC_00000266	31	36	2	0	0.814528568092797	0.92206018689653	0.864965135321083
GC_00000267	36	36	1	0	0.766081641660962	0.964162035148315	0.853783596626908
GC_00000268	35	36	2	0	0.730878306315176	0.889637494991398	0.802481216227004
GC_00000269	29	36	2	0	0.80525162144037	0.796578771695596	0.800891717701863
GC_00000270	36	36	1	0	0.768347859416401	0.97962063437377	0.861216229165716
GC_00000271	17	36	4	0	0.785303596420271	0.884714949834245	0.832050438565282
GC_00000272	34	35	2	0	0.799165673420739	0.952548144056519	0.869141718716261
GC_00000273	29	35	2	0	0.784775095530602	0.88679951576433	0.832673779558444
GC_00000274	29	35	3	0	0.692885442240495	0.932954962718835	0.795196022884023
GC_00000275	27	35	2	0	0.81183160460891	0.959713531659428	0.879600254513574
GC_00000276	29	35	3	0	0.811567158572901	0.787100410832576	0.799146559492055
GC_00000277	32	35	3	0	0.781507139827513	0.759902926687916	0.770553632266012
GC_00000278	29	35	2	0	0.73442750818262	0.72284159881497	0.728588497044558
GC_00000279	29	35	2	0	0.905348287845067	0.965435506206471	0.934426934152482
GC_00000280	28	35	2	0	0.768455038694572	0.743102821450472	0.755566323285796
GC_00000281	28	35	2	0	0.731916654053781	0.896417191186613	0.805857684684719
GC_00000282	28	35	3	0	0.783188438409199	0.837517702372307	0.809442458390064
GC_00000283	33	35	2	0	0.749405643799745	0.89738081792647	0.816744933507395
GC_00000284	35	35	1	0	0.756431382251206	0.873833889792573	0.810905302895998
GC_00000285	35	35	1	0	0.787601877978615	0.96805459229697	0.868554444206543
GC_00000286	18	35	2	0	0.855747394026929	0.979279009009665	0.913355206877187
GC_00000287	16	35	5	0	0.818390559085812	0.662075987215685	0.731981061900186
GC_00000288	32	35	3	0	0.785847077131086	0.811857299366225	0.798640468336426
GC_00000289	29	35	3	0	0.818638687657049	0.781992871262945	0.799896283839126
GC_00000290	31	34	3	0	0.754496273824661	0.916391225288655	0.827600619686024
GC_00000291	28	34	5	0	0.760807360214303	0.741758966391317	0.751162422773487
GC_00000292	29	34	2	0	0.779924347264508	0.773344264878227	0.776620368532209
GC_00000293	26	34	3	0	0.674870577467609	0.70316414092064	0.688726899990815
GC_00000294	32	34	2	0	0.825066295441937	0.864227839896289	0.844193142407678
GC_00000295	29	34	3	0	0.76668631314237	0.77298525416801	0.769822898875446
GC_00000296	28	34	2	0	0.807451867700474	0.789168089202156	0.798205289619533
GC_00000297	29	34	3	0	0.766634256016935	0.823499506888652	0.794050093798781
GC_00000298	29	34	2	0	0.670329179906459	0.708761992370041	0.689010059153684
GC_00000299	22	34	2	0	0.736455909925298	0.641995674858711	0.685989285536294
GC_00000300	26	34	2	0	0.730631108211339	0.833635239943838	0.778741855467916
GC_00000301	33	34	2	0	0.758353258165135	0.897231828677759	0.821967636715985
GC_00000302	33	34	2	0	0.749332722332095	0.924343073867914	0.827687791725093
GC_00000303	32	34	2	0	0.778982246311593	0.833884790202102	0.805499067599289
GC_00000304	17	34	2	0	0.822502160969167	0.983791815827263	0.895945958804355
GC_00000305	28	33	3	0	0.801448257822933	0.893224941087797	0.844851471468295
GC_00000306	32	33	2	0	0.882372319997181	0.851412026870135	0.866615743509647
GC_00000307	29	33	4	0	0.78123888273803	0.801676747858595	0.791325873228055
GC_00000308	31	33	2	0	0.805412365291587	0.826947477892302	0.816037869250771
GC_00000309	32	33	2	0	0.815018508576509	0.966539913288133	0.884335769110819
GC_00000310	31	33	2	0	0.791474688311306	0.861914481974053	0.825194102189113
GC_00000311	29	33	2	0	0.653341030451725	0.892740631857548	0.754506179800042
GC_00000312	32	33	2	0	0.826145767027371	0.908174909472079	0.865220448960105
GC_00000313	32	33	2	0	0.741751849306544	0.883648675465222	0.806506493844823
GC_00000314	31	33	2	0	0.765849307698842	0.795202897650777	0.780250124318636
GC_00000315	26	33	3	0	0.793076571208455	0.804350445318264	0.798673725463855
GC_00000316	30	33	2	0	0.828157787347929	0.959236110737707	0.888890642251383
GC_00000317	29	33	3	0	0.757555832874862	0.841194079892711	0.797187198214621
GC_00000318	31	33	2	0	0.760043633370988	0.871505779881094	0.811967341061833
GC_00000319	30	33	2	0	0.797000190565812	0.850720561583877	0.822984657826302
GC_00000320	26	33	3	0	0.752310918805425	0.714476500333324	0.732905757735849
GC_00000321	20	33	3	0	0.84052601219482	0.694086568015663	0.760319343989969
GC_00000322	16	33	3	0	0.723852794765127	0.867987038592517	0.789394549048125
GC_00000323	15	33	6	0	0.602037144242955	0.717974467746367	0.654914387533244
GC_00000324	18	33	2	0	0.70141956607811	0.861982568713337	0.773456074875395
GC_00000325	31	32	2	0	0.762706961647453	0.925170304848217	0.836119836701458
GC_00000326	29	32	2	0	0.731804802815219	0.904113967979471	0.808884836914361
GC_00000327	29	32	3	0	0.811186763306245	0.783468488237291	0.797086726438807
GC_00000328	32	32	1	0	0.816325930824195	0.945768927197434	0.876293005821335
GC_00000329	31	32	2	0	0.812054482151018	0.85728348959161	0.834056268989326
GC_00000330	30	32	2	0	0.770003869042136	0.759649208976385	0.764791492178506
GC_00000331	30	32	3	0	0.828503173606752	0.881101869045614	0.853993380415608
GC_00000332	29	32	2	0	0.84613199352247	0.689545054612733	0.759855247418746
GC_00000333	30	32	2	0	0.82176154306386	0.760961808275098	0.790193875956643
GC_00000334	30	32	2	0	0.833652306035444	0.892274921503872	0.861968029775871
GC_00000335	29	32	3	0	0.734213121898631	0.87487465926791	0.798395789675828
GC_00000336	28	32	3	0	0.768427822301375	0.825483094113628	0.795934289455834
GC_00000337	32	32	1	0	0.869421679645436	0.962306927823098	0.913509241610476
GC_00000338	29	32	2	0	0.766931575226365	0.860039613389529	0.810821408601632
GC_00000339	32	32	1	0	0.818118369625907	0.953543732499957	0.880655112353299
GC_00000340	29	32	2	0	0.806141632856206	0.768410758131332	0.786824124506594
GC_00000341	31	32	2	0	0.857897482308282	0.947765485449569	0.90059511470793
GC_00000342	32	32	1	0	0.835580274759073	0.975558972655701	0.900160311338721
GC_00000343	29	32	2	0	0.855582532775571	0.76142905399612	0.805764663501931
GC_00000344	29	32	3	0	0.842660326478153	0.845415651759087	0.844035740458755
GC_00000345	31	32	2	0	0.780026193354581	0.89433637114859	0.833279254989296
GC_00000346	28	32	2	0	0.715654696808537	0.975688867079385	0.825682416343688
GC_00000347	29	32	2	0	0.783117981912123	0.675346399109675	0.725250360645569
GC_00000348	27	32	2	0	0.77979678813925	0.943649725345397	0.853934275529092
GC_00000349	30	32	3	0	0.794708530471191	0.866669327970537	0.829130476894553
GC_00000350	31	32	2	0	0.721299887940695	0.889447648631415	0.796597200641732
GC_00000351	29	32	2	0	0.729827640358385	0.748878304083033	0.739230254181428
GC_00000352	31	32	2	0	0.78084289734904	0.87986150148462	0.827400233982209
